TasksV2
AP_Button::update                MIN=   5 MAX=  22 AVG=   9 OVR=  0 SLP=  0, TOT= 0.0%
AP_NMEA_Output::update           MIN=   4 MAX= 239 AVG=   9 OVR= 71 SLP=  0, TOT= 0.0%
Copter::update_dynamic_notch_at_ MIN=   3 MAX=1339 AVG=  22 OVR=999 SLP=  0, TOT= 0.1%
AP_VideoTX::update               MIN=   3 MAX=  13 AVG=   5 OVR=  0 SLP=  0, TOT= 0.0%
AP_Tramp::update                 MIN=   4 MAX=  45 AVG=   5 OVR= 77 SLP=  0, TOT= 0.0%
AP_Vehicle::send_watchdog_reset_ MIN=   8 MAX=   8 AVG=   8 OVR=  0 SLP=  0, TOT= 0.0%
AP_ESC_Telem::update             MIN=  49 MAX=1601 AVG= 121 OVR=539 SLP=  0, TOT= 0.3%
AP_Servo_Telem::update           MIN=   6 MAX=1367 AVG=  23 OVR=180 SLP=  0, TOT= 0.0%
AP_Generator::update             MIN=   3 MAX= 148 AVG=   7 OVR=  1 SLP=  0, TOT= 0.0%
AP_RPM::update                   MIN=   8 MAX= 358 AVG=  11 OVR=215 SLP=  0, TOT= 0.0%
AP_Vehicle::publish_osd_info     MIN=  27 MAX=  42 AVG=  30 OVR=  6 SLP=  0, TOT= 0.0%
AP_TemperatureSensor::update     MIN=   5 MAX= 181 AVG=  16 OVR=  2 SLP=  0, TOT= 0.0%
AP_Vehicle::accel_cal_update     MIN=  10 MAX= 500 AVG=  27 OVR=  2 SLP=  0, TOT= 0.0%
AC_Fence::update                 MIN=  12 MAX= 354 AVG=  27 OVR=  2 SLP=  0, TOT= 0.0%
AP_AIS::update                   MIN=   2 MAX=  15 AVG=   4 OVR=  0 SLP=  0, TOT= 0.0%
AP_EFI::update                   MIN=   3 MAX= 281 AVG=  10 OVR=328 SLP=  0, TOT= 0.0%
AP_Gripper::update               MIN=   3 MAX= 229 AVG=   8 OVR=  1 SLP=  0, TOT= 0.0%
AP_Vehicle::one_Hz_update        MIN= 163 MAX= 622 AVG= 258 OVR=  6 SLP=  0, TOT= 0.0%
AP_Filters::update               MIN=   8 MAX= 468 AVG=  86 OVR=  1 SLP=  0, TOT= 0.0%
AP_Stats::update                 MIN=  16 MAX= 476 AVG= 151 OVR=  2 SLP=  0, TOT= 0.0%
AP_Vehicle::update_arming        MIN=2083 MAX=3080 AVG=2374 OVR=  6 SLP=  0, TOT= 0.1%
