TasksV2
AP_Button::update                MIN=   4 MAX=  12 AVG=   9 OVR=  0 SLP=  0, TOT= 0.0%
AP_NMEA_Output::update           MIN=   4 MAX=1152 AVG=  12 OVR=  5 SLP=  0, TOT= 0.0%
Copter::update_dynamic_notch_at_ MIN=   3 MAX=1380 AVG=  18 OVR=318 SLP=  0, TOT= 0.2%
AP_VideoTX::update               MIN=   3 MAX=   5 AVG=   4 OVR=  0 SLP=  0, TOT= 0.0%
AP_Tramp::update                 MIN=   4 MAX= 285 AVG=   8 OVR=  7 SLP=  0, TOT= 0.0%
AP_Vehicle::send_watchdog_reset_ MIN=  10 MAX=  10 AVG=  10 OVR=  0 SLP=  0, TOT= 0.0%
AP_ESC_Telem::update             MIN=  49 MAX=1876 AVG= 104 OVR=513 SLP=  0, TOT= 0.7%
AP_Servo_Telem::update           MIN=   6 MAX=1297 AVG=  16 OVR= 10 SLP=  0, TOT= 0.1%
AP_Generator::update             MIN=   3 MAX= 208 AVG=   6 OVR=  1 SLP=  0, TOT= 0.0%
AP_RPM::update                   MIN=   7 MAX=1619 AVG=  19 OVR= 10 SLP=  0, TOT= 0.1%
AP_Vehicle::publish_osd_info     MIN=  28 MAX=  42 AVG=  31 OVR=  8 SLP=  0, TOT= 0.0%
AP_TemperatureSensor::update     MIN=   5 MAX=  24 AVG=   7 OVR=  0 SLP=  0, TOT= 0.0%
AP_Vehicle::accel_cal_update     MIN=  10 MAX=  67 AVG=  13 OVR=  0 SLP=  0, TOT= 0.0%
AC_Fence::update                 MIN=  14 MAX= 220 AVG=  17 OVR=  1 SLP=  0, TOT= 0.0%
AP_AIS::update                   MIN=   2 MAX= 231 AVG=  10 OVR=  1 SLP=  0, TOT= 0.0%
AP_EFI::update                   MIN=   3 MAX= 471 AVG=  10 OVR=  5 SLP=  0, TOT= 0.0%
AP_Gripper::update               MIN=   3 MAX= 277 AVG=   7 OVR=  1 SLP=  0, TOT= 0.0%
AP_Vehicle::one_Hz_update        MIN= 156 MAX= 549 AVG= 227 OVR=  9 SLP=  0, TOT= 0.0%
AP_Filters::update               MIN=   7 MAX=  21 AVG=  11 OVR=  0 SLP=  0, TOT= 0.0%
AP_Stats::update                 MIN=  10 MAX= 109 AVG=  25 OVR=  1 SLP=  0, TOT= 0.0%
AP_Vehicle::update_arming        MIN=1559 MAX=3474 AVG=2234 OVR=  9 SLP=  0, TOT= 0.2%
