TasksV2
AP_Winch::update                 MIN=   8 MAX= 295 AVG=  17 OVR=  2 SLP=  0, TOT= 0.0%
AP_Button::update                MIN=   4 MAX=  20 AVG=   7 OVR=  0 SLP=  0, TOT= 0.0%
AP_NMEA_Output::update           MIN=   4 MAX= 297 AVG=  10 OVR=  2 SLP=  0, TOT= 0.0%
Copter::update_dynamic_notch_at_ MIN=   4 MAX= 275 AVG=  13 OVR= 63 SLP=  0, TOT= 0.0%
AP_VideoTX::update               MIN=   3 MAX=   4 AVG=   4 OVR=  0 SLP=  0, TOT= 0.0%
AP_Tramp::update                 MIN=   3 MAX=  63 AVG=   5 OVR=  1 SLP=  0, TOT= 0.0%
AP_Vehicle::send_watchdog_reset_ MIN=  11 MAX=  11 AVG=  11 OVR=  0 SLP=  0, TOT= 0.0%
AP_ESC_Telem::update             MIN=  49 MAX=1828 AVG= 101 OVR=142 SLP=  0, TOT= 0.1%
AP_Servo_Telem::update           MIN=   6 MAX= 605 AVG=  17 OVR=  4 SLP=  0, TOT= 0.0%
AP_Generator::update             MIN=   2 MAX=   6 AVG=   3 OVR=  0 SLP=  0, TOT= 0.0%
AP_RPM::update                   MIN=   8 MAX=  79 AVG=   9 OVR=  0 SLP=  0, TOT= 0.0%
AP_Vehicle::publish_osd_info     MIN=  29 MAX=  30 AVG=  29 OVR=  3 SLP=  0, TOT= 0.0%
AP_TemperatureSensor::update     MIN=   5 MAX= 159 AVG=  18 OVR=  1 SLP=  0, TOT= 0.0%
AP_Vehicle::accel_cal_update     MIN=  10 MAX=  23 AVG=  11 OVR=  0 SLP=  0, TOT= 0.0%
AC_Fence::update                 MIN=  16 MAX= 395 AVG=  65 OVR=  4 SLP=  0, TOT= 0.0%
AP_AIS::update                   MIN=   2 MAX= 201 AVG=  18 OVR=  1 SLP=  0, TOT= 0.0%
AP_EFI::update                   MIN=   3 MAX= 368 AVG=   9 OVR=  1 SLP=  0, TOT= 0.0%
AP_Gripper::update               MIN=   3 MAX=  15 AVG=   4 OVR=  0 SLP=  0, TOT= 0.0%
AP_Vehicle::one_Hz_update        MIN= 168 MAX= 626 AVG= 321 OVR=  3 SLP=  0, TOT= 0.0%
AP_Filters::update               MIN=   8 MAX=  68 AVG=  29 OVR=  0 SLP=  0, TOT= 0.0%
AP_Stats::update                 MIN=  10 MAX=  13 AVG=  12 OVR=  0 SLP=  0, TOT= 0.0%
AP_Vehicle::update_arming        MIN=2038 MAX=2096 AVG=2070 OVR=  3 SLP=  0, TOT= 0.0%
